Brand,Country,Industry,Current_Score,Volatility,Trend_Slope,Inflation_Performance,Cluster_Name
If,FI,Insurance & Pension,67.96077530426645,8.811313187458508,2.9245429572562656,,👑 The Royals
Felleskjøpet,NO,E-commerce,67.66797064588035,3.5715391036729587,5.050919038960146,,👑 The Royals
Naturkompaniet,SE,Clothes & Fashion - Stores,67.57496745020435,5.890782284409483,-0.02200700058468176,-1.0990265194833242,👑 The Royals
Coop,DK,Consumer Goods Corporations,67.49896287656291,10.430286954911637,-1.8435465536597915,,👑 The Royals
Lego,FI,Hobby & Leisure,67.33680108655766,0.6651347868614024,-0.9406426363855331,,👑 The Royals
God Morgon,FI,Beverage,66.992724138556,4.625489291916584,-3.4161446525868655,,👑 The Royals
Kiwi,NO,Grocery Stores,66.7816292739195,12.791234385676052,0.09905338381408484,8.656635042604975,👑 The Royals
The Body Shop,FI,Beauty,66.70442385600649,5.543657816237398,-0.2013431203574373,,👑 The Royals
Coop.dk,DK,E-commerce,66.51421933225427,,,,Unclassified
Volvo,SE,Automotive,66.46579267348204,6.918717719939949,-1.0418776477406015,-5.146234664149738,👑 The Royals
DSB,DK,Passenger Transport,66.42703218666568,10.801715677787147,2.430674473214158,,👑 The Royals
Hesburger,FI,"Restaurants, Cafes & Take-away",66.38931427509488,6.538697200504272,0.6623218497584321,-4.545812668621771,👑 The Royals
XZ,FI,Beauty,66.34919010099098,2.0746908409493314,-2.934055925001786,,👑 The Royals
Turku Energia,FI,Electricity & Heating,66.06329891416165,8.496438849735597,0.9014655207687017,8.399112141327137,👑 The Royals
Koskenkorva,FI,Beverage,66.04216038494178,6.1265547189612155,1.5708562908850572,,👑 The Royals
Solvinge,NO,Food,65.95519851681675,8.174799273092061,-5.310608188592674,,👑 The Royals
Ilmarinen,FI,Insurance & Pension,65.7812020765719,9.1618232739951,3.1235400401793574,,👑 The Royals
Kiviks Musteri,SE,Beverage,65.55836448494625,12.440496722950765,17.593519188255016,,👑 The Royals
Skansen,SE,Travel & Tourism,65.46017933838337,1.7604375262918406,-0.03713318571968358,,👑 The Royals
Ruter,NO,Passenger Transport,65.45444249072287,5.737079175568026,-0.12146197337770051,,👑 The Royals
DNA,FI,Telecommunications,65.40453036082826,10.019162356770524,2.6338364890581483,16.925352032294853,👑 The Royals
Försvarsmakten,SE,Governmental Institutions,65.18577301780255,6.66332957058436,2.0136421750646205,,👑 The Royals
Telia,FI,Telecommunications,65.01575903682658,11.464689568421157,2.5090445845082208,4.152327501020352,👑 The Royals
Garden Gourmet,NL,Food,64.8548004069376,7.832885320645934,-2.642214428096807,,👑 The Royals
